108,108,108,108,108,108,108,108,108,282,108,108,108,145,146,108,108,108,108,282,108,108,108,108,108
108,145,146,108,108,108,108,108,282,108,108,282,108,108,108,108,108,108,282,108,108,145,146,108,108
108,108,108,108,108,108,145,146,108,108,108,63,63,63,63,108,108,108,108,108,108,282,108,108,108
108,108,282,108,108,63,63,108,108,108,108,63,108,108,108,108,63,63,63,108,108,108,108,108,108
108,282,108,108,108,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,108,282
108,108,108,108,282,63,108,108,108,282,108,108,108,282,108,108,108,63,108,108,108,108,63,282,108
108,108,108,145,146,63,108,108,282,108,145,146,108,108,108,282,108,63,108,145,146,108,63,108,108
145,146,108,108,282,63,108,145,146,108,108,108,63,63,63,63,63,63,108,108,108,282,63,63,63
108,108,108,282,108,63,108,108,108,108,108,108,63,145,146,108,63,63,63,63,63,108,108,108,108
108,145,146,108,108,63,282,108,63,63,63,108,63,108,108,108,108,108,108,108,63,108,108,108,108
108,108,108,108,63,63,108,108,63,108,108,108,63,108,63,63,63,63,63,63,63,108,282,145,146
108,63,63,63,63,63,63,63,63,63,108,282,63,282,63,108,108,108,108,108,108,282,108,108,108
108,108,282,108,108,108,108,282,108,108,282,108,63,108,63,63,63,108,108,145,146,108,108,108,108
108,282,108,145,146,108,282,108,145,146,108,108,63,108,108,108,108,108,282,108,108,282,108,108,108
145,146,108,108,108,108,108,108,108,108,108,108,63,145,146,108,282,108,108,108,282,108,108,108,108
